,特快,青特,通快,快速,各駅
東京,0,0,0,0,0
神田,2,2,2,2,2
御茶ノ水,4,4,4,4,4
水道橋,,,,,6
飯田橋,,,,,8
市ヶ谷,,,,,10
四ツ谷,9,9,9,9,12
信濃町,,,,,14
千駄ヶ谷,,,,,16
代々木,,,,,18
新宿,14,14,14,14,20
大久保,,,,,22
東中野,,,,,24
中野,19,19,19,19,27
高円寺,,,,21,29
阿佐ヶ谷,,,,23,31
荻窪,,,24,25,33 	
西荻窪,,,,28,36
吉祥寺,,,28,30,38
三鷹,28,28,31,33,41
武蔵境,,,,35,43
東小金井,,,,37,45
武蔵小金井,,,,40,48
国分寺,35,35,38,43,51
西国分寺,,,,45,53
国立,,,,47,55
立川,41,41,44,50,58
日野,44,,47,53,61
豊田,47,,50,56,64
八王子,52,,55,61,69
西八王子,55,,58,64,72
高尾,60,,63,69,77
相模湖,69,,72,78,
藤野,74,,77,83,
上野原,79,,82,88,
四方津,82,,86,92,
梁川,88,,91,97,
鳥沢,92,,95,101,
猿橋,96,,99,105,
大月,99,,102,108,
